#	Country	Flag	Artist	Song	Total	Lost Islands	Lahna	Mensa	Bubblique	Mergina	Tashkveny	Saint Eva & Lepland	Hanzyuki	Alardon	Levië	Bartlett	Waticania	Koalatopolous	Kosma	Bitland	Sunetti	Chruno	Dulcet Ebullience	Anselmsuusonia	Nicolas' Neighbour	Percheron	Asankon	Kannel	Ova Anova	Marium	Kimmystan	Ladoga	Luzze	Pönö	Territrius	Pen Island	Kaministiquia	Kaledonii	Riya-Sampetrina	Amsteris	Alma Livre	Zephyrus	Lacrea
1	Austria	World/at.png	Thomas Forstner	Venedig in Regen	21	2				5					5								1			3				1						4							
2	Belgium	World/be.png	Clouseau	Geef het op	56		2	1	3				5	4	3	10	3					2				6	2	5			4					3							3
3	Cyprus	World/cy.png	Elena Patroklou	SOS	65			3	1	3			3		4				1			6	6			10			3		3		4	3	2					3		10	
4	Denmark	World/dk.png	Anders Frandsen	Lige der hvor hjertet slår	32		1			4	2		4		1			4		3									4			2							6		1		
5	Finland	World/fi.png	Kaija Kärkinen	Hullu yö	185	6	8	6					12	3	8	8	6	7	10	8	12	10	10	4	6		1	8	7		6	7	7	4	4			7		2	6		2
6	France	World/fr.png	Amina	C'est le dernier qui a parlé qui a raison	270	7		12	12		5			10			12	12	8	12	8	8	12	12	10	12	10				7	4	8	8	10	10	4	12	10	5	10	8	12
7	Germany	World/de.png	Atlantis 2000	Dieser Traum darf niemals sterben	15					6		3	1					2	2										1														
8	Greece	World/gr.png	Sophia Vossou	I anixi	248	12	3	7	7		8	1	10	7	10	7	10	10	4	7	10	4		8	12	1	7	6	10	5		6	10	12	12	12	3	5	5	10	7		
9	Iceland	World/is.png	Stefán & Eyfi	Draumur um Nínu	21		7									4	2									4															4		
10	Ireland	World/ie.png	Kim Jackson	Could It Be That I'm in Love	56	5				2		4		2	2	5					5				3					4	2						10			7			5
11	Israel	World/il.png	Duo Datz	Kan	211		4	2	8		10			6				8	6	6	3	12	4	5	2	2	12	10	12		10	8	12	10	7	6	7	2	7	12	2	12	4
12	Italy	World/it.png	Peppino di Capri	Comme è ddoce 'o mare	72			8							6		7			10	1	1		2										7	5				12		12		1
13	Luxembourg	World/lu.png	Sarah Bray	Un baiser volé	21	3				7		2						1					5	3																			
14	Malta	World/mt.png	Georgina & Paul Giordimaina	Could It Be	28			5			4	10		1												5															3		
15	Norway	World/no.png	Just 4 Fun	Mrs. Thompson	32	1	6			1		6										3			1			7							1	2			4				
16	Portugal	World/pt.png	Dulce Pontes	Lusitana paixão	127						7	12	8			1	5	6		5			2		8		6		6	8		12		1		8	8	1	8	4	8	3	
17	Spain	World/es.png	Sergio Dalma	Bailar pegados	57						3		2				4		3	1	6			6	5				2	3		5	1				2	3	1			2	8
18	Sweden	World/se.png	Carola	Fångad av en stormvind	242	10	10		10	10	1	7	6	8	7	6		5	12		4	7	7	7	7		8	12	5	10	12	10	6		8	7	12	10	2			6	10
19	Switzerland	World/ch.png	Sandra Simó	Canzone per te	80	8			5		6	8				2							8		4		4	1		12			2				5	8				7	
20	Turkey	World/tr.png	Izel Çeliköz, Reyhan Karaca & Can Ugurluer	Iki Dakika	117			4	6		12						8		5	4	2			10		7	5	2	8	2	8	1	5	6		1			3	6		5	7
21	United Kingdom	World/gb.png	Samantha Janus	A Message to Your Heart	95		12		2	12		5		5		3		3	7			5				8		3		7	5			5	3		1	4		1		4	
22	Yugoslavia	World/yu.png	Baby Doll	Brazil	153	4	5	10	4	8			7	12	12	12	1			2	7		3	1			3	4		6	1	3	3	2	6	5	6	6		8	5	1	6
